Question,Artist,Attributed
1,Computer,Computer
2,Computer,Computer
3,Computer,Computer
4,Computer,Computer
5,Computer,Computer
6,Computer,Computer
7,Computer,Computer
8,Computer,Computer
9,Computer,Computer
10,Computer,Computer
11,Human,Human
12,Human,Human
13,Human,Human
14,Human,Human
15,Human,Human
16,Human,Human
17,Human,Human
18,Human,Human
19,Human,Human
20,Human,Human
21,Computer,Human
22,Computer,Human
23,Computer,Human
24,Computer,Human
25,Computer,Human
26,Computer,Human
27,Computer,Human
28,Computer,Human
29,Computer,Human
30,Computer,Human
31,Human,Computer
32,Human,Computer
33,Human,Computer
34,Human,Computer
35,Human,Computer
36,Human,Computer
37,Human,Computer
38,Human,Computer
39,Human,Computer
40,Human,Computer