Subject,Artist,Attributed,Enjoyment
1,Computer,Computer,3.888888889
1,Human,Human,5.6
1,Computer,Human,3.4
1,Human,Computer,3.222222222
2,Computer,Computer,7.8
2,Human,Human,8.5
2,Computer,Human,7.4
2,Human,Computer,8.1
3,Computer,Computer,5.6
3,Human,Human,6.9
3,Computer,Human,6.7
3,Human,Computer,4.8
4,Computer,Computer,4.4
4,Human,Human,5.6
4,Computer,Human,4.5
4,Human,Computer,3.3
5,Computer,Computer,2.3
5,Human,Human,4.6
5,Computer,Human,6.4
5,Human,Computer,3.1
6,Computer,Computer,3.3
6,Human,Human,4.6
6,Computer,Human,3.1
6,Human,Computer,5.1
7,Computer,Computer,6.7
7,Human,Human,8.7
7,Computer,Human,7.1
7,Human,Computer,7.5
8,Computer,Computer,6.3
8,Human,Human,5.8
8,Computer,Human,3.3
8,Human,Computer,4.9
9,Computer,Computer,6.3
9,Human,Human,7
9,Computer,Human,5.9
9,Human,Computer,6.9
10,Computer,Computer,8
10,Human,Human,10
10,Computer,Human,7
10,Human,Computer,7.2
11,Computer,Computer,4.6
11,Human,Human,7.8
11,Computer,Human,7.2
11,Human,Computer,7.3
12,Computer,Computer,4.3
12,Human,Human,7.2
12,Computer,Human,5.3
12,Human,Computer,5.4
13,Computer,Computer,4.4
13,Human,Human,4.6
13,Computer,Human,3.4
13,Human,Computer,4.6
14,Computer,Computer,6.2
14,Human,Human,6.4
14,Computer,Human,5.9
14,Human,Computer,7.3
15,Computer,Computer,5.1
15,Human,Human,6.6
15,Computer,Human,6.2
15,Human,Computer,7.4
16,Computer,Computer,6.2
16,Human,Human,4.4
16,Computer,Human,4.8
16,Human,Computer,7.1
17,Computer,Computer,4.9
17,Human,Human,6.3
17,Computer,Human,5.9
17,Human,Computer,5.1
18,Computer,Computer,6.3
18,Human,Human,7.3
18,Computer,Human,7.4
18,Human,Computer,7.2
19,Computer,Computer,4.2
19,Human,Human,5.1
19,Computer,Human,6.9
19,Human,Computer,6.5
20,Computer,Computer,4.9
20,Human,Human,5.2
20,Computer,Human,5.2
20,Human,Computer,7.2
21,Computer,Computer,7.9
21,Human,Human,6.9
21,Computer,Human,5.2
21,Human,Computer,7.1
22,Computer,Computer,4.7
22,Human,Human,5.3
22,Computer,Human,5.1
22,Human,Computer,5.9
23,Computer,Computer,3
23,Human,Human,5.6
23,Computer,Human,5.2
23,Human,Computer,7.3
24,Computer,Computer,5.2
24,Human,Human,5.8
24,Computer,Human,4.5
24,Human,Computer,5.6
25,Computer,Computer,6.3
25,Human,Human,6.5
25,Computer,Human,6.3
25,Human,Computer,6.7
26,Computer,Computer,4.7
26,Human,Human,6.1
26,Computer,Human,5.6
26,Human,Computer,5.6
27,Computer,Computer,5.7
27,Human,Human,4.4
27,Computer,Human,6.1
27,Human,Computer,6.4
28,Computer,Computer,5.7
28,Human,Human,6.6
28,Computer,Human,6
28,Human,Computer,7.1
29,Computer,Computer,3.2
29,Human,Human,6.1
29,Computer,Human,6.1
29,Human,Computer,3.8
30,Computer,Computer,6.2
30,Human,Human,5.4
30,Computer,Human,4.5
30,Human,Computer,7
31,Computer,Computer,3.3
31,Human,Human,2.6
31,Computer,Human,4.7
31,Human,Computer,5
32,Computer,Computer,5.8
32,Human,Human,5.5
32,Computer,Human,4
32,Human,Computer,6.1
33,Computer,Computer,3.3
33,Human,Human,4.3
33,Computer,Human,4.5
33,Human,Computer,3.2
34,Computer,Computer,1.6
34,Human,Human,2.6
34,Computer,Human,3.2
34,Human,Computer,2.9
35,Computer,Computer,5.5
35,Human,Human,8
35,Computer,Human,6.7
35,Human,Computer,4.8
36,Computer,Computer,6.2
36,Human,Human,6
36,Computer,Human,6.2
36,Human,Computer,5.6
37,Computer,Computer,3.8
37,Human,Human,5
37,Computer,Human,4.3
37,Human,Computer,5.7
38,Computer,Computer,5.1
38,Human,Human,4.9
38,Computer,Human,4.9
38,Human,Computer,5.5
39,Computer,Computer,6.1
39,Human,Human,6.9
39,Computer,Human,5.7
39,Human,Computer,6.3
40,Computer,Computer,4.5
40,Human,Human,6.1
40,Computer,Human,6.1
40,Human,Computer,4
41,Computer,Computer,9.7
41,Human,Human,9.7
41,Computer,Human,9.5
41,Human,Computer,9.1
42,Computer,Computer,3.1
42,Human,Human,3.2
42,Computer,Human,3.2
42,Human,Computer,2.3
43,Computer,Computer,2.9
43,Human,Human,5
43,Computer,Human,5.9
43,Human,Computer,4.7
44,Computer,Computer,5.6
44,Human,Human,6.6
44,Computer,Human,6.3
44,Human,Computer,5.8
45,Computer,Computer,5.2
45,Human,Human,5.3
45,Computer,Human,4.2
45,Human,Computer,5.4
46,Computer,Computer,7
46,Human,Human,6.7
46,Computer,Human,7.3
46,Human,Computer,7.8
47,Computer,Computer,6.2
47,Human,Human,7.3
47,Computer,Human,6.9
47,Human,Computer,8.2
48,Computer,Computer,4.4
48,Human,Human,4.9
48,Computer,Human,4.8
48,Human,Computer,5
49,Computer,Computer,4.8
49,Human,Human,6.3
49,Computer,Human,6.5
49,Human,Computer,6.4
50,Computer,Computer,4.1
50,Human,Human,5.8
50,Computer,Human,3.7
50,Human,Computer,5.9
51,Computer,Computer,4.2
51,Human,Human,5.6
51,Computer,Human,3.1
51,Human,Computer,4.4
52,Computer,Computer,5.2
52,Human,Human,6.8
52,Computer,Human,7.8
52,Human,Computer,7.4
53,Computer,Computer,5.7
53,Human,Human,4.5
53,Computer,Human,3.6
53,Human,Computer,6.4
54,Computer,Computer,7.7
54,Human,Human,8
54,Computer,Human,6.9
54,Human,Computer,7.9
55,Computer,Computer,3.9
55,Human,Human,5.6
55,Computer,Human,7.1
55,Human,Computer,5.8
56,Computer,Computer,5.9
56,Human,Human,6.3
56,Computer,Human,6.2
56,Human,Computer,7
57,Computer,Computer,4.4
57,Human,Human,5.6
57,Computer,Human,5.4
57,Human,Computer,6.2
58,Computer,Computer,5.2
58,Human,Human,6.9
58,Computer,Human,5.2
58,Human,Computer,7.5
59,Computer,Computer,6.6
59,Human,Human,7.7
59,Computer,Human,6
59,Human,Computer,7
60,Computer,Computer,3.8
60,Human,Human,8
60,Computer,Human,5.9
60,Human,Computer,6.4
61,Computer,Computer,9
61,Human,Human,9.5
61,Computer,Human,7.8
61,Human,Computer,8.7
62,Computer,Computer,2.6
62,Human,Human,6.7
62,Computer,Human,4
62,Human,Computer,5.1
63,Computer,Computer,4.4
63,Human,Human,6.8
63,Computer,Human,5
63,Human,Computer,5.7
64,Computer,Computer,6
64,Human,Human,6.7
64,Computer,Human,5.3
64,Human,Computer,8
65,Computer,Computer,2.9
65,Human,Human,3.8
65,Computer,Human,4.3
65,Human,Computer,3.3
66,Computer,Computer,5.1
66,Human,Human,6.3
66,Computer,Human,4.9
66,Human,Computer,3.5
67,Computer,Computer,6.8
67,Human,Human,5.6
67,Computer,Human,6.4
67,Human,Computer,6.3
68,Computer,Computer,7.1
68,Human,Human,8.8
68,Computer,Human,7.1
68,Human,Computer,6.6
69,Computer,Computer,6.9
69,Human,Human,6.9
69,Computer,Human,3.8
69,Human,Computer,7.3
70,Computer,Computer,5.4
70,Human,Human,8
70,Computer,Human,7.5
70,Human,Computer,7.3
71,Computer,Computer,5.5
71,Human,Human,7.8
71,Computer,Human,7.2
71,Human,Computer,6.1
72,Computer,Computer,6.5
72,Human,Human,7.8
72,Computer,Human,8.1
72,Human,Computer,6.4
73,Computer,Computer,4.6
73,Human,Human,3.5
73,Computer,Human,4.1
73,Human,Computer,3.5
74,Computer,Computer,5.9
74,Human,Human,4.9
74,Computer,Human,4.3
74,Human,Computer,6.1
75,Computer,Computer,5.1
75,Human,Human,3.9
75,Computer,Human,5.1
75,Human,Computer,4.8
76,Computer,Computer,5.1
76,Human,Human,4.7
76,Computer,Human,5
76,Human,Computer,5.2
77,Computer,Computer,5.2
77,Human,Human,4.8
77,Computer,Human,5.4
77,Human,Computer,6.4
78,Computer,Computer,4.4
78,Human,Human,6.8
78,Computer,Human,6.2
78,Human,Computer,6.4
79,Computer,Computer,5.2
79,Human,Human,6.8
79,Computer,Human,5.7
79,Human,Computer,5.9
80,Computer,Computer,6.6
80,Human,Human,8.6
80,Computer,Human,7
80,Human,Computer,8.3
81,Computer,Computer,5.7
81,Human,Human,7.1
81,Computer,Human,7.2
81,Human,Computer,5.4
82,Computer,Computer,6
82,Human,Human,6.3
82,Computer,Human,4.7
82,Human,Computer,6.7
83,Computer,Computer,6.7
83,Human,Human,8.2
83,Computer,Human,4.8
83,Human,Computer,6.3
84,Computer,Computer,5.1
84,Human,Human,6.2
84,Computer,Human,5.7
84,Human,Computer,6.4
85,Computer,Computer,4.8
85,Human,Human,7.6
85,Computer,Human,5.6
85,Human,Computer,5.5
86,Computer,Computer,6.3
86,Human,Human,6.4
86,Computer,Human,6.3
86,Human,Computer,6.6
87,Computer,Computer,1.7
87,Human,Human,6.5
87,Computer,Human,3.4
87,Human,Computer,4.2
88,Computer,Computer,8.9
88,Human,Human,8.7
88,Computer,Human,7.2
88,Human,Computer,8.6
89,Computer,Computer,5.4
89,Human,Human,5
89,Computer,Human,4.8
89,Human,Computer,3.6
90,Computer,Computer,6.9
90,Human,Human,8.1
90,Computer,Human,6.5
90,Human,Computer,8.5
91,Computer,Computer,6
91,Human,Human,5.9
91,Computer,Human,7.6
91,Human,Computer,5
92,Computer,Computer,5.9
92,Human,Human,6.3
92,Computer,Human,5.9
92,Human,Computer,6.6
93,Computer,Computer,6.4
93,Human,Human,7
93,Computer,Human,5.9
93,Human,Computer,7.2
94,Computer,Computer,3.9
94,Human,Human,6.1
94,Computer,Human,4.3
94,Human,Computer,6.3
95,Computer,Computer,3.9
95,Human,Human,5.9
95,Computer,Human,4.9
95,Human,Computer,5.4
96,Computer,Computer,5.9
96,Human,Human,7.6
96,Computer,Human,7.6
96,Human,Computer,8
97,Computer,Computer,4.3
97,Human,Human,6.4
97,Computer,Human,6.3
97,Human,Computer,5.1
98,Computer,Computer,1.7
98,Human,Human,1.9
98,Computer,Human,2.8
98,Human,Computer,3.7
99,Computer,Computer,6.9
99,Human,Human,5.8
99,Computer,Human,6.3
99,Human,Computer,6.2
100,Computer,Computer,5.3
100,Human,Human,5.6
100,Computer,Human,4.5
100,Human,Computer,5.1
101,Computer,Computer,5.8
101,Human,Human,6.5
101,Computer,Human,5
101,Human,Computer,5.9
102,Computer,Computer,3.5
102,Human,Human,5.5
102,Computer,Human,6
102,Human,Computer,5.7
103,Computer,Computer,2.8
103,Human,Human,5.3
103,Computer,Human,4.5
103,Human,Computer,4.1
104,Computer,Computer,6.4
104,Human,Human,7.6
104,Computer,Human,5.2
104,Human,Computer,6.3
105,Computer,Computer,6.7
105,Human,Human,8.2
105,Computer,Human,6.7
105,Human,Computer,7.6
106,Computer,Computer,5.6
106,Human,Human,5.9
106,Computer,Human,6
106,Human,Computer,6
107,Computer,Computer,3.2
107,Human,Human,4.5
107,Computer,Human,3.4
107,Human,Computer,4.8
108,Computer,Computer,5.7
108,Human,Human,6.7
108,Computer,Human,6.8
108,Human,Computer,6
109,Computer,Computer,5.8
109,Human,Human,5.8
109,Computer,Human,5.6
109,Human,Computer,6.4
110,Computer,Computer,4.9
110,Human,Human,5.7
110,Computer,Human,6.2
110,Human,Computer,5.3
111,Computer,Computer,6
111,Human,Human,8.2
111,Computer,Human,8.3
111,Human,Computer,6.7
112,Computer,Computer,2.4
112,Human,Human,4.9
112,Computer,Human,3.4
112,Human,Computer,4.2
113,Computer,Computer,8.5
113,Human,Human,8
113,Computer,Human,7.4
113,Human,Computer,6.8
114,Computer,Computer,3.4
114,Human,Human,5.7
114,Computer,Human,6
114,Human,Computer,5.1
115,Computer,Computer,4.8
115,Human,Human,5.3
115,Computer,Human,4.8
115,Human,Computer,5.5
116,Computer,Computer,4.6
116,Human,Human,6.1
116,Computer,Human,5.4
116,Human,Computer,6.7
117,Computer,Computer,3.7
117,Human,Human,5.8
117,Computer,Human,4.3
117,Human,Computer,3.6
118,Computer,Computer,2.3
118,Human,Human,4.3
118,Computer,Human,3.6
118,Human,Computer,3.7
119,Computer,Computer,5.5
119,Human,Human,5.8
119,Computer,Human,4.3
119,Human,Computer,4.6
120,Computer,Computer,3.6
120,Human,Human,6.3
120,Computer,Human,5.4
120,Human,Computer,6.1
121,Computer,Computer,7.3
121,Human,Human,8.6
121,Computer,Human,7.5
121,Human,Computer,8.7
122,Computer,Computer,4.6
122,Human,Human,6.3
122,Computer,Human,6.1
122,Human,Computer,5.2
123,Computer,Computer,5.3
123,Human,Human,7.3
123,Computer,Human,5.5
123,Human,Computer,6.4
124,Computer,Computer,4.7
124,Human,Human,6.9
124,Computer,Human,4.4
124,Human,Computer,6.6
125,Computer,Computer,5.5
125,Human,Human,4.4
125,Computer,Human,4.4
125,Human,Computer,5
126,Computer,Computer,4.1
126,Human,Human,5.7
126,Computer,Human,5
126,Human,Computer,4.2
127,Computer,Computer,2.5
127,Human,Human,3.3
127,Computer,Human,3.1
127,Human,Computer,2.5
128,Computer,Computer,3.5
128,Human,Human,6.5
128,Computer,Human,3.8
128,Human,Computer,5.9
129,Computer,Computer,7.4
129,Human,Human,8.2
129,Computer,Human,7.2
129,Human,Computer,9.1
130,Computer,Computer,4.6
130,Human,Human,6
130,Computer,Human,5.7
130,Human,Computer,6.2
131,Computer,Computer,5.4
131,Human,Human,6.9
131,Computer,Human,5.4
131,Human,Computer,7.4
132,Computer,Computer,7.1
132,Human,Human,6.5
132,Computer,Human,6.2
132,Human,Computer,6.8
133,Computer,Computer,3.6
133,Human,Human,8.3
133,Computer,Human,5.6
133,Human,Computer,5.2
134,Computer,Computer,4.4
134,Human,Human,6.6
134,Computer,Human,4.9
134,Human,Computer,8.1
135,Computer,Computer,4.2
135,Human,Human,4.9
135,Computer,Human,3.6
135,Human,Computer,5.5
136,Computer,Computer,3.1
136,Human,Human,6.6
136,Computer,Human,5.7
136,Human,Computer,7.1
137,Computer,Computer,5.7
137,Human,Human,6.4
137,Computer,Human,4.3
137,Human,Computer,6.9
138,Computer,Computer,2.3
138,Human,Human,4.4
138,Computer,Human,3.2
138,Human,Computer,4.5
139,Computer,Computer,3.6
139,Human,Human,6.2
139,Computer,Human,3.9
139,Human,Computer,4.3
140,Computer,Computer,5.2
140,Human,Human,6.9
140,Computer,Human,6.4
140,Human,Computer,5.5
141,Computer,Computer,5.3
141,Human,Human,5.5
141,Computer,Human,5.7
141,Human,Computer,6.2
142,Computer,Computer,1.2
142,Human,Human,2.2
142,Computer,Human,4.6
142,Human,Computer,2.8
143,Computer,Computer,2.8
143,Human,Human,4.1
143,Computer,Human,3.5
143,Human,Computer,4.3
144,Computer,Computer,4.3
144,Human,Human,8.1
144,Computer,Human,3.6
144,Human,Computer,6.6
145,Computer,Computer,0.2
145,Human,Human,1.4
145,Computer,Human,2.1
145,Human,Computer,1.5
146,Computer,Computer,7.6
146,Human,Human,6.2
146,Computer,Human,4.9
146,Human,Computer,4.5
147,Computer,Computer,9
147,Human,Human,9.4
147,Computer,Human,8.1
147,Human,Computer,8.7
148,Computer,Computer,4.4
148,Human,Human,5.9
148,Computer,Human,5.8
148,Human,Computer,6.4
149,Computer,Computer,4.5
149,Human,Human,4.7
149,Computer,Human,6.2
149,Human,Computer,5.6
150,Computer,Computer,6.2
150,Human,Human,5.9
150,Computer,Human,6.2
150,Human,Computer,7.7
151,Computer,Computer,4.9
151,Human,Human,5.7
151,Computer,Human,5.2
151,Human,Computer,5.5
152,Computer,Computer,4.6
152,Human,Human,5.6
152,Computer,Human,7.6
152,Human,Computer,4.2
153,Computer,Computer,6.2
153,Human,Human,8.3
153,Computer,Human,7.4
153,Human,Computer,7.1
154,Computer,Computer,5.2
154,Human,Human,5.7
154,Computer,Human,4
154,Human,Computer,4.9
155,Computer,Computer,5.9
155,Human,Human,6.3
155,Computer,Human,5.3
155,Human,Computer,6.3
156,Computer,Computer,6.7
156,Human,Human,8.1
156,Computer,Human,6
156,Human,Computer,6.2
157,Computer,Computer,2.3
157,Human,Human,6.1
157,Computer,Human,3.5
157,Human,Computer,7
158,Computer,Computer,6.9
158,Human,Human,9.3
158,Computer,Human,6.9
158,Human,Computer,7.9
159,Computer,Computer,5.9
159,Human,Human,5.4
159,Computer,Human,5.3
159,Human,Computer,6
160,Computer,Computer,5.9
160,Human,Human,7.8
160,Computer,Human,6.2
160,Human,Computer,9
161,Computer,Computer,5.7
161,Human,Human,7.7
161,Computer,Human,5.3
161,Human,Computer,6.2
162,Computer,Computer,4
162,Human,Human,6.4
162,Computer,Human,7.3
162,Human,Computer,6.9
163,Computer,Computer,3
163,Human,Human,5
163,Computer,Human,3.8
163,Human,Computer,3.9
164,Computer,Computer,6.3
164,Human,Human,7
164,Computer,Human,6.4
164,Human,Computer,6.7
165,Computer,Computer,4.8
165,Human,Human,7.7
165,Computer,Human,5.5
165,Human,Computer,6.9
166,Computer,Computer,3.8
166,Human,Human,5.4
166,Computer,Human,4.6
166,Human,Computer,6.7
167,Computer,Computer,6.1
167,Human,Human,7.9
167,Computer,Human,5.2
167,Human,Computer,7.7
168,Computer,Computer,5.8
168,Human,Human,6.6
168,Computer,Human,4.9
168,Human,Computer,5.8
169,Computer,Computer,0.9
169,Human,Human,2.2
169,Computer,Human,1.8
169,Human,Computer,2.8
170,Computer,Computer,6
170,Human,Human,5.4
170,Computer,Human,5.1
170,Human,Computer,6.9
171,Computer,Computer,5.4
171,Human,Human,6.6
171,Computer,Human,5.3
171,Human,Computer,5.3
172,Computer,Computer,5.9
172,Human,Human,7.3
172,Computer,Human,6.9
172,Human,Computer,6.6
173,Computer,Computer,3.7
173,Human,Human,6.1
173,Computer,Human,5.3
173,Human,Computer,5.8
174,Computer,Computer,6.1
174,Human,Human,7.1
174,Computer,Human,6.3
174,Human,Computer,6.1
175,Computer,Computer,1.9
175,Human,Human,7.3
175,Computer,Human,3.5
175,Human,Computer,8
176,Computer,Computer,2.8
176,Human,Human,5
176,Computer,Human,4.1
176,Human,Computer,4.1
177,Computer,Computer,2.4
177,Human,Human,3.4
177,Computer,Human,3.7
177,Human,Computer,3.5
178,Computer,Computer,4
178,Human,Human,7.2
178,Computer,Human,4.1
178,Human,Computer,6.4
179,Computer,Computer,5.1
179,Human,Human,6
179,Computer,Human,7
179,Human,Computer,7.2
180,Computer,Computer,4.4
180,Human,Human,6
180,Computer,Human,5.5
180,Human,Computer,5.6
181,Computer,Computer,6.2
181,Human,Human,9.5
181,Computer,Human,6.9
181,Human,Computer,7
182,Computer,Computer,5.8
182,Human,Human,5.1
182,Computer,Human,6
182,Human,Computer,4.1
183,Computer,Computer,4.3
183,Human,Human,6.3
183,Computer,Human,6
183,Human,Computer,3.6
184,Computer,Computer,0.6
184,Human,Human,4.1
184,Computer,Human,1.8
184,Human,Computer,3.8
185,Computer,Computer,6.4
185,Human,Human,5.7
185,Computer,Human,5.2
185,Human,Computer,6.1
186,Computer,Computer,6
186,Human,Human,7.3
186,Computer,Human,7.2
186,Human,Computer,6.2
187,Computer,Computer,5.8
187,Human,Human,7
187,Computer,Human,6
187,Human,Computer,7
188,Computer,Computer,4.9
188,Human,Human,7.2
188,Computer,Human,4.4
188,Human,Computer,7.2
189,Computer,Computer,4.9
189,Human,Human,3.5
189,Computer,Human,4.9
189,Human,Computer,4.8
190,Computer,Computer,3.6
190,Human,Human,4
190,Computer,Human,5.1
190,Human,Computer,6.2
191,Computer,Computer,2.7
191,Human,Human,5.3
191,Computer,Human,7
191,Human,Computer,6.3
192,Computer,Computer,4.5
192,Human,Human,6.6
192,Computer,Human,5.9
192,Human,Computer,7.4
193,Computer,Computer,7.3
193,Human,Human,9.2
193,Computer,Human,7.2
193,Human,Computer,8.2
194,Computer,Computer,4.9
194,Human,Human,7.4
194,Computer,Human,7.6
194,Human,Computer,7.3
195,Computer,Computer,8
195,Human,Human,8.7
195,Computer,Human,6.6
195,Human,Computer,7.3
196,Computer,Computer,5.3
196,Human,Human,5.7
196,Computer,Human,6.9
196,Human,Computer,7
197,Computer,Computer,4.2
197,Human,Human,6.3
197,Computer,Human,4.7
197,Human,Computer,5.6
198,Computer,Computer,6.5
198,Human,Human,6.6
198,Computer,Human,6.3
198,Human,Computer,6.7
199,Computer,Computer,5.1
199,Human,Human,6.1
199,Computer,Human,4.7
199,Human,Computer,4.9
200,Computer,Computer,6.5
200,Human,Human,8.2
200,Computer,Human,5.2
